--------- beginning of /dev/log/system
04-25 21:57:07.250 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 21:57:07.250 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 21:57:12.500 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-25 21:57:13.960 D/pskey_bt(  328): set BT mac
04-25 21:57:13.970 D/pskey_bt(  328): main, bt_mac from nv:
04-25 21:57:13.970 D/pskey_bt(  328): get_pskey_from_file
04-25 21:57:13.970 D/pskey_bt(  328): open bt pskey structure file fd=7
04-25 21:57:13.970 D/pskey_bt(  328): buf from pskey file:2048
04-25 21:57:13.970 D/pskey_bt(  328): parser_pskey_info
04-25 21:57:13.970 D/pskey_bt(  328): char:0, 0
04-25 21:57:13.970 D/pskey_bt(  328): get_one_item(data) = 0x0
04-25 21:57:13.970 D/pskey_bt(  328): get_next_u8: here:0
04-25 21:57:13.970 D/pskey_bt(  328): char:1, 1
04-25 21:57:13.970 D/pskey_bt(  328): get_one_item(data) = 0x1
04-25 21:57:13.970 D/pskey_bt(  328): get_next_u8: here:1
04-25 21:57:13.970 D/pskey_bt(  328): char:1, 1
04-25 21:57:13.970 D/pskey_bt(  328): get_one_item(data) = 0x1
04-25 21:57:13.970 D/pskey_bt(  328): get_next_u8: here:1
04-25 21:57:13.970 D/pskey_bt(  328): char:1, 1
04-25 21:57:13.970 D/pskey_bt(  328): get_one_item(data) = 0x1
04-25 21:57:13.970 D/pskey_bt(  328): get_next_u8: here:1
04-25 21:57:13.970 D/pskey_bt(  328): char:0, 0
04-25 21:57:13.970 D/pskey_bt(  328): char:1, 1
04-25 21:57:13.970 D/pskey_bt(  328): char:8, 8
04-25 21:57:13.970 D/pskey_bt(  328): char:C, C
04-25 21:57:13.970 D/pskey_bt(  328): char:B, B
04-25 21:57:13.970 D/pskey_bt(  328): char:A, A
04-25 21:57:13.970 D/pskey_bt(  328): char:8, 8
04-25 21:57:13.970 D/pskey_bt(  328): char:0, 0
