--------- beginning of /dev/log/system
04-26 13:38:32.350 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 13:38:32.350 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 13:38:37.670 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-26 13:38:38.530 I/Gecko   (   83): 1398544718543	Marionette	INFO	B2G emulator: no
04-26 13:38:38.540 I/Gecko   (   83): 1398544718544	Marionette	INFO	Device detected is sp6821a_gonk
04-26 13:38:38.540 I/Gecko   (   83): 1398544718546	Marionette	INFO	Listening on port 2828
04-26 13:38:38.540 I/Gecko   (   83): 
04-26 13:38:38.540 I/Gecko   (   83): 1398544718547	Marionette	INFO	Marionette server ready
04-26 13:38:38.630 D/EventHub(   83): No input device configuration file found for device 'light sensor'.
04-26 13:38:38.690 D/Sensors (   83): activate handle=0; drv=0
04-26 13:38:38.690 D/EventHub(   83): No input device configuration file found for device 'headset-keyboard'.
04-26 13:38:38.690 D/Sensors (   83): Lis3dhSensor: mEnabled = 0
04-26 13:38:38.700 D/Sensors (   83): activate handle=3; drv=1
04-26 13:38:38.700 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=0; mEnabled=0
04-26 13:38:38.700 D/Sensors (   83): taos ---Light::TAOS_IOCTL_ALS_OFF=== err=0
04-26 13:38:38.700 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=0; mEnabled=0
04-26 13:38:38.700 D/Sensors (   83): activate handle=4; drv=1
04-26 13:38:38.700 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=1; mEnabled=0
04-26 13:38:38.710 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event4: Function not implemented
04-26 13:38:38.710 D/Sensors (   83): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
04-26 13:38:38.710 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
04-26 13:38:38.710 I/EventHub(   83): New device: id=2, fd=50, path='/dev/input/event4', name='headset-keyboard', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 13:38:38.710 D/EventHub(   83): No input device configuration file found for device 'accelerometer'.
04-26 13:38:38.710 D/Sensors (   83): activate handle=0; drv=0
04-26 13:38:38.710 D/Sensors (   83): Lis3dhSensor: Control set 1
04-26 13:38:38.710 D/Sensors (   83): Lis3dhSensor: mEnabled = 1
04-26 13:38:38.730 D/EventHub(   83): No input device configuration file found for device 'sprd-keypad'.
04-26 13:38:38.740 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
04-26 13:38:38.740 I/EventHub(   83): New device: id=4, fd=55, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 13:38:38.740 D/EventHub(   83): No input device configuration file found for device 'rohm_proximity'.
04-26 13:38:38.760 D/BTWIFIMAC(   93): read_btwifimac_from_modem
04-26 13:38:38.760 D/BTWIFIMAC(   93): read_btwifimac_from_modem modem_fd=7
04-26 13:38:38.760 D/BTWIFIMAC(   93): ===========BT MAC===========
04-26 13:38:38.760 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 13:38:38.760 D/BTWIFIMAC(   93): send_to_modem
04-26 13:38:38.760 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-26 13:38:38.760 D/SPRDENG (  149): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 13:38:38.760 D/SPRDENG (  149): AT > AT+SNVM=0,401
04-26 13:38:38.760 D/SPRDENG (  149): 41
04-26 13:38:38.760 D/SPRDENG (  149): 54
04-26 13:38:38.760 D/SPRDENG (  149): 2b
04-26 13:38:38.760 D/SPRDENG (  149): 53
04-26 13:38:38.760 D/SPRDENG (  149): 4e
04-26 13:38:38.760 D/SPRDENG (  149): 56
04-26 13:38:38.760 D/SPRDENG (  149): 4d
04-26 13:38:38.760 D/SPRDENG (  149): 3d
04-26 13:38:38.760 D/SPRDENG (  149): 30
04-26 13:38:38.760 D/SPRDENG (  149): 2c
04-26 13:38:38.760 D/SPRDENG (  149): 34
04-26 13:38:38.760 D/SPRDENG (  149): 30
04-26 13:38:38.760 D/SPRDENG (  149): 31
04-26 13:38:38.760 D/SPRDENG (  149): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 13:38:38.760 D/SPRDENG (  149): AT < 
04-26 13:38:38.760 D/SPRDENG (  149): +SNVM: 8,FFFFFFFFFFFF2500
04-26 13:38:38.760 D/SPRDENG (  149): 
04-26 13:38:38.760 D/SPRDENG (  149): OK
04-26 13:38:38.760 D/SPRDENG (  149): 
04-26 13:38:38.760 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-26 13:38:38.760 D/BTWIFIMAC(   93): read_btwifimac_from_modem: BT timeout=35, response=
04-26 13:38:38.760 D/BTWIFIMAC(   93): +SNVM: 8,FFFFFFFFFFFF2500
04-26 13:38:38.760 D/BTWIFIMAC(   93): 
04-26 13:38:38.760 D/BTWIFIMAC(   93): OK
04-26 13:38:38.760 D/BTWIFIMAC(   93): 
04-26 13:38:38.780 E/filemap (   83): mmap(0,4096) failed: No such device
04-26 13:38:38.790 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
