--------- beginning of /dev/log/system
01-01 06:47:48.890 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 06:47:48.890 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 06:47:48.980 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 06:47:48.980 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 06:47:54.020 D/VoldCmdListener(   75): volume list
01-01 06:47:54.030 D/VoldCmdListener(   75): volume mount sdcard
01-01 06:47:54.030 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 06:47:54.030 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 06:47:54.030 W/Vold    (   75): Skipping fs checks
01-01 06:47:54.080 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 06:47:54.080 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 06:48:05.560 D/SPRDENG (  154): 38
01-01 06:48:05.560 D/SPRDENG (  154): 33
01-01 06:48:05.560 D/SPRDENG (  154): 37
01-01 06:48:05.560 D/SPRDENG (  154): 36
01-01 06:48:05.560 D/SPRDENG (  154): 37
01-01 06:48:05.560 D/SPRDENG (  154): 32
01-01 06:48:05.560 D/SPRDENG (  154): 37
01-01 06:48:05.560 D/SPRDENG (  154): 65
01-01 06:48:05.560 D/SPRDENG (  154): 38
01-01 06:48:05.560 D/SPRDENG (  154): 30
01-01 06:48:05.560 D/SPRDENG (  154): 37
01-01 06:48:05.560 D/SPRDENG (  154): 36
01-01 06:48:05.560 D/SPRDENG (  154): 37
01-01 06:48:05.560 D/SPRDENG (  154): 33
01-01 06:48:05.560 D/SPRDENG (  154): 38
01-01 06:48:05.560 D/SPRDENG (  154): 30
01-01 06:48:05.560 D/SPRDENG (  154): 38
01-01 06:48:05.560 D/SPRDENG (  154): 30
01-01 06:48:05.560 D/SPRDENG (  154): 37
01-01 06:48:05.560 D/SPRDENG (  154): 35
01-01 06:48:05.560 D/SPRDENG (  154): 37
01-01 06:48:05.560 D/SPRDENG (  154): 34
01-01 06:48:05.560 D/SPRDENG (  154): 38
01-01 06:48:05.560 D/SPRDENG (  154): 30
01-01 06:48:05.560 D/SPRDENG (  154): 38
01-01 06:48:05.560 D/SPRDENG (  154): 30
