--------- beginning of /dev/log/system
01-01 06:41:27.720 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 06:41:27.790 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 06:41:27.850 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 06:41:27.850 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 06:41:32.840 D/VoldCmdListener(   75): volume list
01-01 06:41:32.850 D/VoldCmdListener(   75): volume mount sdcard
01-01 06:41:32.850 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 06:41:32.850 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 06:41:32.850 W/Vold    (   75): Skipping fs checks
01-01 06:41:32.900 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 06:41:32.900 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 06:41:44.720 D/SPRDENG (  165): 63
01-01 06:41:44.720 D/SPRDENG (  165): 31
01-01 06:41:44.720 D/SPRDENG (  165): 63
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 34
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 32
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
01-01 06:41:44.720 D/SPRDENG (  165): 30
