--------- beginning of /dev/log/system
12-31 23:49:06.560 I/Vold    (   75): Vold 2.1 (the revenge) firing up
12-31 23:49:06.620 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31 23:49:06.730 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
12-31 23:49:06.730 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
12-31 23:49:11.610 D/VoldCmdListener(   75): volume list
12-31 23:49:11.620 D/VoldCmdListener(   75): volume mount sdcard
12-31 23:49:11.620 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
12-31 23:49:11.620 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
12-31 23:49:11.620 W/Vold    (   75): Skipping fs checks
12-31 23:49:11.670 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
12-31 23:49:11.670 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
12-31 23:49:23.100 D/SPRDENG (  162): 35
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 38
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 35
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 33
12-31 23:49:23.100 D/SPRDENG (  162): 64
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 35
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 35
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 34
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 35
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 38
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 35
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 31
12-31 23:49:23.100 D/SPRDENG (  162): 63
12-31 23:49:23.100 D/SPRDENG (  162): 31
12-31 23:49:23.100 D/SPRDENG (  162): 63
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 31
12-31 23:49:23.100 D/SPRDENG (  162): 63
12-31 23:49:23.100 D/SPRDENG (  162): 31
12-31 23:49:23.100 D/SPRDENG (  162): 63
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 34
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 32
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
12-31 23:49:23.100 D/SPRDENG (  162): 30
