--------- beginning of /dev/log/system
01-01 11:40:46.970 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 11:40:47.030 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 11:40:47.110 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 11:40:47.110 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 11:40:52.050 D/VoldCmdListener(   75): volume list
01-01 11:40:52.060 D/VoldCmdListener(   75): volume mount sdcard
01-01 11:40:52.060 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 11:40:52.060 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 11:40:52.060 W/Vold    (   75): Skipping fs checks
01-01 11:40:52.110 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 11:40:52.110 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
01-01 11:41:03.490 D/SPRDENG (  161): 30
