--------- beginning of /dev/log/system
12-31 23:16:52.490 I/Vold    (   75): Vold 2.1 (the revenge) firing up
12-31 23:16:52.490 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31 23:16:52.580 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
12-31 23:16:52.600 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
12-31 23:16:57.550 D/VoldCmdListener(   75): volume list
12-31 23:16:57.560 D/VoldCmdListener(   75): volume mount sdcard
12-31 23:16:57.560 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
12-31 23:16:57.560 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
12-31 23:16:57.560 W/Vold    (   75): Skipping fs checks
12-31 23:16:57.610 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
12-31 23:16:57.610 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 32
12-31 23:17:09.010 D/SPRDENG (  158): 33
12-31 23:17:09.010 D/SPRDENG (  158): 64
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 35
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 32
12-31 23:17:09.010 D/SPRDENG (  158): 32
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 35
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 32
12-31 23:17:09.010 D/SPRDENG (  158): 32
12-31 23:17:09.010 D/SPRDENG (  158): 34
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 35
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 32
12-31 23:17:09.010 D/SPRDENG (  158): 32
12-31 23:17:09.010 D/SPRDENG (  158): 38
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 35
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 32
12-31 23:17:09.010 D/SPRDENG (  158): 31
12-31 23:17:09.010 D/SPRDENG (  158): 63
12-31 23:17:09.010 D/SPRDENG (  158): 31
12-31 23:17:09.010 D/SPRDENG (  158): 63
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 31
12-31 23:17:09.010 D/SPRDENG (  158): 63
12-31 23:17:09.010 D/SPRDENG (  158): 31
12-31 23:17:09.010 D/SPRDENG (  158): 63
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 34
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 32
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
12-31 23:17:09.010 D/SPRDENG (  158): 30
