--------- beginning of /dev/log/system
01-01 00:53:48.670 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 00:53:48.670 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:53:48.790 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 00:53:48.790 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 00:53:53.710 D/VoldCmdListener(   75): volume list
01-01 00:53:53.720 D/VoldCmdListener(   75): volume mount sdcard
01-01 00:53:53.720 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 00:53:53.720 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 00:53:53.720 W/Vold    (   75): Skipping fs checks
01-01 00:53:53.770 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 00:53:53.770 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 38
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 35
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 33
01-01 00:54:05.150 D/SPRDENG (  156): 64
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 35
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 35
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 34
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 35
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 38
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 35
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 32
01-01 00:54:05.150 D/SPRDENG (  156): 31
01-01 00:54:05.150 D/SPRDENG (  156): 63
01-01 00:54:05.150 D/SPRDENG (  156): 31
01-01 00:54:05.150 D/SPRDENG (  156): 63
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 30
01-01 00:54:05.150 D/SPRDENG (  156): 31
