--------- beginning of /dev/log/system
12-31 23:23:50.540 I/Vold    (   75): Vold 2.1 (the revenge) firing up
12-31 23:23:50.580 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31 23:23:50.610 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
12-31 23:23:50.640 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
12-31 23:23:55.530 D/VoldCmdListener(   75): volume list
12-31 23:23:55.540 D/VoldCmdListener(   75): volume mount sdcard
12-31 23:23:55.540 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
12-31 23:23:55.540 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
12-31 23:23:55.540 W/Vold    (   75): Skipping fs checks
12-31 23:23:55.590 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
12-31 23:23:55.600 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 34
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 35
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 38
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 35
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 33
12-31 23:24:07.060 D/SPRDENG (  159): 64
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 35
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 35
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 34
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 35
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 38
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 35
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 31
12-31 23:24:07.060 D/SPRDENG (  159): 63
12-31 23:24:07.060 D/SPRDENG (  159): 31
12-31 23:24:07.060 D/SPRDENG (  159): 63
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 31
12-31 23:24:07.060 D/SPRDENG (  159): 63
12-31 23:24:07.060 D/SPRDENG (  159): 31
12-31 23:24:07.060 D/SPRDENG (  159): 63
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 34
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 32
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
12-31 23:24:07.060 D/SPRDENG (  159): 30
