--------- beginning of /dev/log/system
12-31 21:51:16.020 I/Vold    (   75): Vold 2.1 (the revenge) firing up
12-31 21:51:16.020 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31 21:51:16.140 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
12-31 21:51:16.140 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
12-31 21:51:21.050 D/VoldCmdListener(   75): volume list
12-31 21:51:21.060 D/VoldCmdListener(   75): volume mount sdcard
12-31 21:51:21.060 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
12-31 21:51:21.060 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
12-31 21:51:21.060 W/Vold    (   75): Skipping fs checks
12-31 21:51:21.110 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
12-31 21:51:21.110 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 34
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 35
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 38
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 35
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 33
12-31 21:51:32.550 D/SPRDENG (  154): 64
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 35
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 35
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 34
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 35
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 38
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 35
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 31
12-31 21:51:32.550 D/SPRDENG (  154): 63
12-31 21:51:32.550 D/SPRDENG (  154): 31
12-31 21:51:32.550 D/SPRDENG (  154): 63
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 31
12-31 21:51:32.550 D/SPRDENG (  154): 63
12-31 21:51:32.550 D/SPRDENG (  154): 31
12-31 21:51:32.550 D/SPRDENG (  154): 63
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 34
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 32
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
12-31 21:51:32.550 D/SPRDENG (  154): 30
