--------- beginning of /dev/log/system
12-31 22:00:26.640 I/Vold    (   75): Vold 2.1 (the revenge) firing up
12-31 22:00:26.640 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31 22:00:26.710 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
12-31 22:00:26.740 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
12-31 22:00:31.530 D/VoldCmdListener(   75): volume list
12-31 22:00:31.540 D/VoldCmdListener(   75): volume mount sdcard
12-31 22:00:31.540 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
12-31 22:00:31.540 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
12-31 22:00:31.540 W/Vold    (   75): Skipping fs checks
12-31 22:00:31.590 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
12-31 22:00:31.590 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
12-31 22:00:42.930 D/SPRDENG (  156): 30
