--------- beginning of /dev/log/system
01-01 12:10:55.790 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 12:10:55.790 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 12:10:55.900 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 12:10:55.900 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 12:11:00.930 D/VoldCmdListener(   75): volume list
01-01 12:11:00.940 D/VoldCmdListener(   75): volume mount sdcard
01-01 12:11:00.940 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 12:11:00.940 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 12:11:00.940 W/Vold    (   75): Skipping fs checks
01-01 12:11:00.990 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 12:11:00.990 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 35
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 31
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 35
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 32
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 36
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 32
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 35
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 34
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 35
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 34
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 34
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 35
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 38
01-01 12:11:12.200 D/SPRDENG (  155): 30
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 34
01-01 12:11:12.200 D/SPRDENG (  155): 37
01-01 12:11:12.200 D/SPRDENG (  155): 35
