--------- beginning of /dev/log/system
01-01 11:13:43.730 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 11:13:43.800 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 11:13:43.890 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 11:13:43.890 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 11:13:48.870 D/VoldCmdListener(   75): volume list
01-01 11:13:48.880 D/VoldCmdListener(   75): volume mount sdcard
01-01 11:13:48.880 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 11:13:48.880 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 11:13:48.880 W/Vold    (   75): Skipping fs checks
01-01 11:13:48.930 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 11:13:48.930 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 11:14:00.230 D/SPRDENG (  169): 35
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 38
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 35
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 33
01-01 11:14:00.230 D/SPRDENG (  169): 64
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 35
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 35
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 34
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 35
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 38
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 35
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 31
01-01 11:14:00.230 D/SPRDENG (  169): 63
01-01 11:14:00.230 D/SPRDENG (  169): 31
01-01 11:14:00.230 D/SPRDENG (  169): 63
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 31
01-01 11:14:00.230 D/SPRDENG (  169): 63
01-01 11:14:00.230 D/SPRDENG (  169): 31
01-01 11:14:00.230 D/SPRDENG (  169): 63
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 34
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 32
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.230 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 62
01-01 11:14:00.240 D/SPRDENG (  169): 62
01-01 11:14:00.240 D/SPRDENG (  169): 62
01-01 11:14:00.240 D/SPRDENG (  169): 65
01-01 11:14:00.240 D/SPRDENG (  169): 63
01-01 11:14:00.240 D/SPRDENG (  169): 32
01-01 11:14:00.240 D/SPRDENG (  169): 63
01-01 11:14:00.240 D/SPRDENG (  169): 36
01-01 11:14:00.240 D/SPRDENG (  169): 31
01-01 11:14:00.240 D/SPRDENG (  169): 61
01-01 11:14:00.240 D/SPRDENG (  169): 32
01-01 11:14:00.240 D/SPRDENG (  169): 33
01-01 11:14:00.240 D/SPRDENG (  169): 31
01-01 11:14:00.240 D/SPRDENG (  169): 63
01-01 11:14:00.240 D/SPRDENG (  169): 32
01-01 11:14:00.240 D/SPRDENG (  169): 33
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 31
01-01 11:14:00.240 D/SPRDENG (  169): 61
01-01 11:14:00.240 D/SPRDENG (  169): 32
01-01 11:14:00.240 D/SPRDENG (  169): 33
01-01 11:14:00.240 D/SPRDENG (  169): 31
01-01 11:14:00.240 D/SPRDENG (  169): 63
01-01 11:14:00.240 D/SPRDENG (  169): 32
01-01 11:14:00.240 D/SPRDENG (  169): 33
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 31
01-01 11:14:00.240 D/SPRDENG (  169): 62
01-01 11:14:00.240 D/SPRDENG (  169): 32
01-01 11:14:00.240 D/SPRDENG (  169): 33
01-01 11:14:00.240 D/SPRDENG (  169): 31
01-01 11:14:00.240 D/SPRDENG (  169): 63
01-01 11:14:00.240 D/SPRDENG (  169): 32
01-01 11:14:00.240 D/SPRDENG (  169): 33
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 30
01-01 11:14:00.240 D/SPRDENG (  169): 31
01-01 11:14:00.240 D/SPRDENG (  169): 62
01-01 11:14:00.240 D/SPRDENG (  169): 32
01-01 11:14:00.240 D/SPRDENG (  169): 33
01-01 11:14:00.240 D/SPRDENG (  169): 31
01-01 11:14:00.240 D/SPRDENG (  169): 63
01-01 11:14:00.240 D/SPRDENG (  169): 32
