--------- beginning of /dev/log/system
01-01 04:18:16.790 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 04:18:16.790 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 04:18:16.860 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 04:18:16.860 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 04:18:22.050 D/VoldCmdListener(   75): volume list
01-01 04:18:22.060 D/VoldCmdListener(   75): volume mount sdcard
01-01 04:18:22.060 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 04:18:22.060 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 04:18:22.060 W/Vold    (   75): Skipping fs checks
01-01 04:18:22.100 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 04:18:22.110 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 34
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 35
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 38
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 35
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 33
01-01 04:18:33.790 D/SPRDENG (  162): 64
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 35
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 35
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 34
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 35
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 38
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 35
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 31
01-01 04:18:33.790 D/SPRDENG (  162): 63
01-01 04:18:33.790 D/SPRDENG (  162): 31
01-01 04:18:33.790 D/SPRDENG (  162): 63
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 31
01-01 04:18:33.790 D/SPRDENG (  162): 63
01-01 04:18:33.790 D/SPRDENG (  162): 31
01-01 04:18:33.790 D/SPRDENG (  162): 63
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 34
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 32
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
01-01 04:18:33.790 D/SPRDENG (  162): 30
