--------- beginning of /dev/log/system
12-31 23:43:37.440 I/Vold    (   75): Vold 2.1 (the revenge) firing up
12-31 23:43:37.440 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31 23:43:37.530 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
12-31 23:43:37.530 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
12-31 23:43:42.600 D/VoldCmdListener(   75): volume list
12-31 23:43:42.610 D/VoldCmdListener(   75): volume mount sdcard
12-31 23:43:42.610 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
12-31 23:43:42.610 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
12-31 23:43:42.610 W/Vold    (   75): Skipping fs checks
12-31 23:43:42.660 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
12-31 23:43:42.660 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 34
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 32
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 62
12-31 23:43:54.050 D/SPRDENG (  167): 62
12-31 23:43:54.050 D/SPRDENG (  167): 62
12-31 23:43:54.050 D/SPRDENG (  167): 65
12-31 23:43:54.050 D/SPRDENG (  167): 63
12-31 23:43:54.050 D/SPRDENG (  167): 32
12-31 23:43:54.050 D/SPRDENG (  167): 63
12-31 23:43:54.050 D/SPRDENG (  167): 36
12-31 23:43:54.050 D/SPRDENG (  167): 31
12-31 23:43:54.050 D/SPRDENG (  167): 61
12-31 23:43:54.050 D/SPRDENG (  167): 32
12-31 23:43:54.050 D/SPRDENG (  167): 33
12-31 23:43:54.050 D/SPRDENG (  167): 31
12-31 23:43:54.050 D/SPRDENG (  167): 63
12-31 23:43:54.050 D/SPRDENG (  167): 32
12-31 23:43:54.050 D/SPRDENG (  167): 33
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 31
12-31 23:43:54.050 D/SPRDENG (  167): 61
12-31 23:43:54.050 D/SPRDENG (  167): 32
12-31 23:43:54.050 D/SPRDENG (  167): 33
12-31 23:43:54.050 D/SPRDENG (  167): 31
12-31 23:43:54.050 D/SPRDENG (  167): 63
12-31 23:43:54.050 D/SPRDENG (  167): 32
12-31 23:43:54.050 D/SPRDENG (  167): 33
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
12-31 23:43:54.050 D/SPRDENG (  167): 30
